url,name,price,com_price,com_quantity,com_unit,timestamp
https://api.pcexpress.ca/pcx-bff/api/v1/products/20181225_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Sweetened Shredded Coconut, Club Size",9,0.9,100,g,2025-04-12T04:02:50.447Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20036039_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Cooked Canned Ham,7.29,1.61,100,g,2025-04-12T04:02:56.397Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21584927_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Catalina Salad Dressing,3,0.71,100,ml,2025-04-12T04:03:02.397Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20831065_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,CREME EGG,1.25,3.68,100,g,2025-04-12T04:03:08.488Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21192309_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Chicken Broth Reduced Sodium,2,0.22,100,ml,2025-04-12T04:03:14.784Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21525020_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Diced Hashbrowns,3.29,0.41,100,g,2025-04-12T04:03:20.594Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21221451_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Go Pure Fruit and Oat Bars, Raspberry",2.5,1.79,100,g,2025-04-12T04:03:26.639Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20821019_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Chicken Snacks, Original",2.19,2.21,100,g,2025-04-12T04:03:32.726Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20011565_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Vdm Bread Pizza Dough,4,0.6,100,g,2025-04-12T04:03:39.602Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21029933_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,Medium Roast Single Serve Coffee Pods,9,0.75,1,ea,2025-04-12T04:03:45.689Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21648457_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Coffee Crisp Snack Size, Made In A Peanut-free Facility",2.49,2.83,100,g,2025-04-12T04:03:51.636Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20357753_KG?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Blade Steak, Boneless",13.83,2.9739999999999998,100,g,2025-04-12T04:03:57.180Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20320174002_EA?lang=en&date=12042025&pickupType=STORE&storeId=3640&banner=nofrills,"Stackers, Bread & Butter",5.49,1.1,100,ml,2025-04-12T04:04:03.418Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21589171_EA?lang=en&date=12042025&pickupType=STORE&storeId=7411&banner=nofrills,Diet Root Beer Caffeine Free,2.5,0.5,100,ml,2025-04-12T04:04:09.012Z
