url,name,price,comprice,comquantity,comunit,timestamp
https://api.pcexpress.ca/pcx-bff/api/v1/products/20768660_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,100% Pure Vegetable Oil,5,0.53,100,ml,2025-04-11T14:45:03.420Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21375718_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Plant Based Pea Crumbs,3.79,1.52,100,g,2025-04-11T14:45:23.080Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20627618010_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Balsamic Dressing,2.75,0.58,100,ml,2025-04-11T14:45:29.680Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21525801_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Soft Éclair Caramel Candy,3.79,3.27,100,g,2025-04-11T14:45:36.369Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21391318002_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,"Source 0% Smooth Traditional Yogurt, Cherry, No Added Sugar",3.49,0.55,100,g,2025-04-11T14:45:43.495Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/20970909_KG?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Frozen Pork Back Ribs,20.2,0.88,100,g,2025-04-11T14:45:50.536Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21587411_C12?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Zero Sugar Grapefruit,7.99,0.19,100,ml,2025-04-11T14:45:57.112Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21124826_KG?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Free From Skin On Turkey Drumsticks,7.49,1.21,100,g,2025-04-11T14:46:03.379Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21352008_EA?lang=en&date=11042025&pickupType=STORE&storeId=3640&banner=nofrills,Free From Australian Lean Ground Lamb,10.99,2.42,100,g,2025-04-11T14:46:10.111Z
https://api.pcexpress.ca/pcx-bff/api/v1/products/21062259_EA?lang=en&date=11042025&pickupType=STORE&storeId=7411&banner=nofrills,Dipping Sauce Mix,2.29,6.36,100,g,2025-04-11T14:46:17.925Z
